Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-92.4,24.3,1008,30
2,-92.83,24.58,1008,32
3,-93.3,24.9,1009,35
4,-93.82,25.29,1009,35
5,-94.3,25.8,1009,35
6,-94.66,26.36,1008,35
7,-94.9,27.2,1008,35
8,-94.99,28.79,1007,35
9,-95.1,29.4,1007,35
10,-95.2,29.4,1007,35
11,-95.4,29.65,1008,32
12,-95.6,30.1,1009,30
13,-96.01,30.48,1009,27
14,-96.4,30.9,1009,25
15,-96.57,31.41,1009,22
16,-96.6,31.9,1010,20
17,-96.62,32.25,1010,20
18,-96.5,32.6,1010,20
19,-96.15,33.12,1010,20
20,-95.7,33.6,1011,20
21,-95.33,33.89,1011,17
22,-95,34.1,1011,15
23,-94.73,34.34,1012,15
24,-94.5,34.6,1013,15
