Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-26,14,NA,30
2,-26.9,13.99,NA,30
3,-27.8,14,NA,30
4,-28.71,14.05,NA,32
5,-29.6,14.1,NA,35
6,-30.46,14.1,NA,35
7,-31.3,14.1,NA,35
8,-32.16,14.15,NA,35
9,-33,14.2,NA,35
10,-33.77,14.2,NA,35
11,-34.5,14.2,NA,35
12,-35.25,14.24,NA,35
13,-36,14.3,NA,35
14,-36.75,14.35,NA,35
15,-37.5,14.4,NA,35
16,-38.25,14.45,NA,37
17,-39,14.5,NA,40
18,-39.75,14.56,NA,40
19,-40.5,14.6,NA,40
20,-41.25,14.6,NA,42
21,-42,14.6,NA,45
22,-42.75,14.64,NA,47
23,-43.5,14.7,NA,50
24,-44.23,14.76,NA,52
25,-45,14.8,NA,55
26,-45.86,14.8,NA,57
27,-46.8,14.8,NA,60
28,-47.78,14.84,NA,62
29,-48.8,14.9,NA,65
30,-49.82,14.95,NA,67
31,-50.8,15,NA,70
32,-51.69,15.06,NA,70
33,-52.5,15.1,NA,70
34,-53.27,15.1,NA,70
35,-54,15.1,NA,70
36,-54.75,15.15,NA,72
37,-55.5,15.2,NA,75
38,-56.25,15.2,NA,75
39,-57,15.2,NA,75
40,-57.77,15.25,NA,75
41,-58.5,15.3,NA,75
42,-59.15,15.3,NA,77
43,-59.7,15.3,NA,80
44,-60.17,15.34,NA,80
45,-60.6,15.4,NA,80
46,-61.03,15.44,NA,80
47,-61.5,15.5,NA,80
48,-62.04,15.58,NA,82
49,-62.7,15.7,NA,85
50,-63.49,15.84,NA,85
51,-64.4,16,NA,85
52,-65.38,16.15,NA,85
53,-66.4,16.3,NA,85
54,-67.4,16.44,NA,87
55,-68.4,16.6,NA,90
56,-69.4,16.79,NA,90
57,-70.4,17,NA,90
58,-71.4,17.2,NA,90
59,-72.4,17.4,NA,90
60,-73.4,17.59,NA,92
61,-74.4,17.8,NA,95
62,-75.42,18.04,NA,95
63,-76.4,18.3,NA,95
64,-77.36,18.55,NA,97
65,-78.2,18.8,NA,100
66,-78.85,19.05,NA,100
67,-79.4,19.3,NA,100
68,-79.98,19.54,NA,102
69,-80.6,19.8,NA,105
70,-81.34,20.09,NA,110
71,-82.1,20.4,NA,115
72,-82.77,20.69,NA,120
73,-83.4,21,NA,125
74,-84.07,21.35,NA,125
75,-84.7,21.7,NA,125
76,-85.29,22.01,NA,125
77,-85.8,22.3,NA,125
78,-86.22,22.6,NA,125
79,-86.6,22.9,NA,125
80,-87.04,23.2,NA,122
81,-87.5,23.5,NA,120
82,-87.96,23.8,NA,120
83,-88.4,24.1,NA,120
84,-88.8,24.39,NA,117
85,-89.2,24.7,NA,115
86,-89.64,25.03,NA,115
87,-90.1,25.4,NA,115
88,-90.57,25.78,NA,115
89,-91.1,26.2,NA,115
90,-91.73,26.64,NA,115
91,-92.4,27.1,NA,115
92,-93.05,27.55,NA,115
93,-93.7,28,NA,115
94,-94.45,28.33,NA,115
95,-95,28.9,940,115
96,-95.1,29.2,940,115
97,-95.39,29.51,NA,98
98,-95.9,29.6,NA,75
99,-96.26,29.9,NA,62
100,-96.5,30.2,NA,50
101,-96.65,30.41,NA,45
102,-96.7,30.6,NA,40
103,-96.68,30.81,NA,40
104,-96.6,31,NA,40
105,-96.51,31.15,NA,37
106,-96.4,31.3,NA,35
107,-96.26,31.48,NA,35
108,-96.1,31.7,NA,35
109,-95.96,31.98,NA,32
110,-95.8,32.3,NA,30
111,-95.58,32.59,NA,30
112,-95.3,32.9,NA,30
113,-94.99,33.24,NA,30
114,-94.6,33.6,NA,30
115,-94.08,33.94,NA,30
116,-93.5,34.3,NA,30
117,-92.96,34.73,NA,32
118,-92.4,35.2,NA,35
119,-91.8,35.71,NA,35
120,-91.2,36.2,NA,35
121,-90.63,36.62,NA,35
122,-90.1,37,NA,35
123,-89.59,37.37,NA,35
124,-89.1,37.7,NA,35
125,-88.6,37.96,NA,35
126,-88.1,38.2,NA,35
127,-87.61,38.48,NA,35
128,-87.1,38.8,NA,35
129,-86.59,39.13,NA,35
130,-86,39.5,NA,35
131,-85.3,39.92,NA,35
132,-84.5,40.4,NA,35
133,-83.64,40.93,NA,35
134,-82.7,41.5,NA,35
135,-81.69,42.07,NA,32
136,-80.7,42.6,NA,30
137,-79.81,43.07,NA,27
138,-79,43.5,NA,25
139,-78.23,43.91,NA,25
140,-77.5,44.3,NA,25
141,-76.79,44.66,NA,25
142,-76.1,45,NA,25
143,-75.39,45.31,NA,25
144,-74.7,45.6,NA,25
145,-74.02,45.88,NA,25
146,-73.4,46.2,NA,25
147,-72.87,46.58,NA,25
148,-72.4,47,NA,25
149,-41.47,52.52,NA,47
150,-40,53,NA,45
151,-38.57,53.53,NA,45
152,-37.2,54.1,NA,45
153,-35.87,54.68,NA,45
154,-34.6,55.3,NA,45
155,-33.37,55.98,NA,42
156,-32.2,56.7,NA,40
157,-31.06,57.42,NA,40
158,-30,58.2,NA,40
159,-29,59.07,NA,37
160,-28,60,NA,35
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
