Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-86.6,27.5,NA,25
2,-86.96,27.53,NA,25
3,-87.3,27.6,NA,25
4,-87.62,27.73,NA,27
5,-87.9,27.9,NA,30
6,-88.06,28.05,NA,30
7,-88.3,28.2,NA,30
8,-88.79,28.37,NA,30
9,-89.4,28.5,NA,30
10,-90,28.54,NA,32
11,-90.6,28.5,NA,35
12,-91.14,28.4,NA,42
13,-91.7,28.3,NA,50
14,-92.36,28.28,NA,57
15,-93,28.3,NA,65
16,-93.52,28.33,NA,65
17,-94,28.4,985,65
18,-94.51,28.52,984,67
19,-95,28.7,984,70
20,-95.3,28.92,981,72
21,-95.39,29.1,980,75
22,-95.5,29.2,980,75
23,-95.73,29.38,983,65
24,-96,29.5,986,55
25,-96.25,29.73,NA,52
26,-96.5,30,NA,50
27,-96.75,30.29,NA,45
28,-97,30.6,NA,40
29,-97.21,30.93,NA,35
30,-97.5,31.3,NA,30
31,-98.04,31.68,NA,30
32,-98.5,32.1,NA,30
33,-98.58,32.58,NA,27
34,-98.5,33.1,NA,25
35,-98.5,33.61,NA,25
36,-98.5,34.1,NA,25
37,-98.5,34.57,NA,25
38,-98.5,35,NA,25
39,-98.5,35.44,NA,25
40,-98.5,35.8,NA,25
41,-98.5,36.04,NA,25
42,-98.5,36.2,NA,25
