Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-87.5,16,NA,30
2,-87.6,16.15,NA,32
3,-87.7,16.4,NA,35
4,-87.8,16.83,NA,37
5,-87.9,17.4,NA,40
6,-87.96,18.04,NA,37
7,-88.1,18.7,NA,35
8,-88.4,19.27,NA,32
9,-88.8,19.8,NA,30
10,-89.22,20.31,NA,30
11,-89.6,20.8,NA,30
12,-89.85,21.3,NA,32
13,-90,21.8,NA,35
14,-90.12,22.3,NA,35
15,-90.2,22.8,NA,35
16,-90.29,23.3,NA,35
17,-90.3,23.8,NA,35
18,-90.19,24.34,NA,35
19,-90,24.8,NA,35
20,-89.84,25.07,NA,37
21,-89.6,25.2,NA,40
22,-89.2,25.29,NA,40
23,-88.7,25.3,NA,40
24,-88.19,25.27,NA,42
25,-87.7,25.2,NA,45
26,-87.29,25.15,NA,45
27,-86.9,25.1,NA,45
28,-86.46,25.04,NA,47
29,-86,25,NA,50
30,-85.5,24.97,NA,50
31,-85.1,25,NA,50
32,-84.9,25.13,NA,50
33,-84.8,25.3,NA,50
34,-84.67,25.45,NA,50
35,-84.6,25.6,996,50
36,-84.62,25.76,NA,50
37,-84.7,25.9,NA,50
38,-84.78,26.02,NA,47
39,-84.9,26.1,NA,45
40,-85.06,26.11,NA,45
41,-85.3,26.1,NA,45
42,-85.62,26.09,NA,42
43,-86.1,26.1,NA,40
44,-86.8,26.14,NA,40
45,-87.6,26.2,NA,40
46,-88.34,26.26,NA,40
47,-89.1,26.4,NA,40
48,-89.91,26.66,NA,40
49,-90.7,27,NA,40
50,-91.42,27.34,NA,40
51,-92.1,27.7,NA,40
52,-92.76,28.04,NA,40
53,-93.4,28.4,NA,40
54,-94.14,28.82,NA,40
55,-94.7,29.2,1004,40
56,-94.8,29.3,1004,40
57,-95.18,29.52,NA,35
58,-96.1,29.9,NA,30
