Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-82.9,17.4,NA,35
2,-83.29,17.55,NA,35
3,-83.7,17.7,NA,35
4,-84.14,17.85,NA,35
5,-84.6,18,NA,35
6,-85.06,18.15,NA,35
7,-85.5,18.3,NA,35
8,-85.9,18.44,NA,35
9,-86.3,18.6,NA,35
10,-86.75,18.8,NA,35
11,-87.2,19,NA,35
12,-87.61,19.16,NA,32
13,-88,19.3,NA,30
14,-88.41,19.44,NA,30
15,-88.8,19.6,NA,30
16,-89.16,19.8,NA,30
17,-89.5,20,NA,30
18,-89.84,20.15,NA,30
19,-90.2,20.3,NA,30
20,-90.59,20.49,NA,32
21,-91,20.7,NA,35
22,-91.44,20.91,NA,35
23,-91.9,21.1,NA,35
24,-92.34,21.25,NA,35
25,-92.8,21.4,NA,35
26,-93.3,21.59,NA,35
27,-93.8,21.8,NA,35
28,-94.27,22,NA,35
29,-94.7,22.2,NA,35
30,-95.13,22.38,NA,35
31,-95.5,22.6,NA,35
32,-95.79,22.88,NA,35
33,-96,23.2,NA,35
34,-96.17,23.53,NA,35
35,-96.3,23.9,NA,35
36,-96.43,24.26,NA,35
37,-96.5,24.7,NA,35
38,-96.52,25.22,NA,35
39,-96.4,25.9,NA,35
40,-96.09,26.7,NA,35
41,-95.6,27.7,NA,35
42,-95.01,28.93,NA,35
43,-94.8,29.3,NA,35
44,-94.4,29.9,NA,30
45,-93.59,31.04,NA,27
46,-92.6,32.4,NA,25
