Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-37,17.2,1006,30
2,-37.69,17.24,1005,32
3,-38.4,17.3,1005,35
4,-39.15,17.38,1004,40
5,-39.9,17.5,1003,45
6,-40.6,17.63,1002,45
7,-41.3,17.8,1002,45
8,-42.04,17.98,1001,45
9,-42.8,18.2,1000,45
10,-43.55,18.43,999,47
11,-44.3,18.7,999,50
12,-45.05,19,997,52
13,-45.8,19.3,996,55
14,-46.55,19.56,995,55
15,-47.3,19.8,994,55
16,-48.05,20.01,993,55
17,-48.8,20.2,992,55
18,-49.54,20.39,990,57
19,-50.3,20.6,989,60
20,-51.09,20.83,984,67
21,-51.9,21.1,979,75
22,-52.71,21.44,967,90
23,-53.5,21.8,956,105
24,-54.27,22.11,945,115
25,-55,22.4,935,125
26,-55.72,22.71,936,122
27,-56.4,23,937,120
28,-57.06,23.23,938,117
29,-57.7,23.4,940,115
30,-58.34,23.53,942,115
31,-59,23.6,944,115
32,-59.69,23.62,946,115
33,-60.4,23.6,949,115
34,-61.14,23.57,951,110
35,-61.9,23.5,954,105
36,-62.65,23.37,956,102
37,-63.4,23.2,959,100
38,-64.16,23.01,960,100
39,-64.9,22.8,962,100
40,-65.61,22.61,963,100
41,-66.3,22.4,964,100
42,-67.01,22.15,964,97
43,-67.7,21.9,965,95
44,-68.36,21.68,957,105
45,-69,21.5,950,115
46,-69.65,21.33,948,115
47,-70.3,21.2,947,115
48,-70.96,21.13,947,115
49,-71.6,21.1,947,115
50,-72.04,21.04,947,112
51,-72.8,21,947,110
52,-73.2,21,947,110
53,-73.68,21,946,108
54,-74,21,946,105
55,-74.55,21.05,945,110
56,-75.2,21.1,945,115
57,-75.7,21.1,945,115
58,-75.92,21.1,946,111
59,-76.5,21.1,950,100
60,-77.14,21.09,955,92
61,-77.8,21.1,960,85
62,-78.46,21.13,962,80
63,-79.1,21.2,964,75
64,-79.72,21.32,964,72
65,-80.3,21.5,965,70
66,-80.86,21.74,965,70
67,-81.4,22,965,70
68,-81.85,22.18,965,70
69,-82.4,22.4,965,70
70,-82.9,22.6,965,70
71,-83.06,22.65,965,68
72,-83.3,22.7,966,65
73,-83.65,22.88,967,65
74,-84,23.1,968,65
75,-84.31,23.25,966,67
76,-84.6,23.4,964,70
77,-84.9,23.59,961,75
78,-85.2,23.8,959,80
79,-85.5,23.99,958,82
80,-85.8,24.2,958,85
81,-86.09,24.45,951,85
82,-86.4,24.7,944,85
83,-86.73,24.91,944,85
84,-87.1,25.1,945,85
85,-87.53,25.31,945,85
86,-88,25.5,946,85
87,-88.44,25.66,949,85
88,-88.9,25.8,952,85
89,-89.44,25.95,953,85
90,-90,26.1,954,85
91,-90.55,26.23,954,87
92,-91.1,26.4,954,90
93,-91.66,26.63,954,92
94,-92.2,26.9,954,95
95,-92.72,27.18,954,95
96,-93.2,27.5,954,95
97,-93.63,27.88,953,95
98,-94,28.3,952,95
99,-94.31,28.65,951,95
100,-94.6,29.1,951,95
101,-94.7,29.3,950,95
102,-94.92,29.69,953,91
103,-95.2,30.3,959,85
104,-95.33,30.95,966,67
105,-95.3,31.7,974,50
106,-95.2,32.55,977,42
107,-94.9,33.5,980,35
108,-94.47,34.48,982,35
109,-93.7,35.5,985,35
110,-92.54,36.5,986,37
111,-91,37.6,987,40
112,-89.31,38.88,987,45
113,-87.2,40.3,988,50
114,-84.53,41.82,988,50
115,-81.5,43.3,988,50
116,-78.29,44.67,987,45
117,-75.3,45.8,986,40
118,-72.98,46.6,986,37
119,-71.1,47.2,986,35
