Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-90.5,27.3,1009,30
2,-90.75,27.25,1007,35
3,-91,27.2,1006,40
4,-91.25,27.15,1005,42
5,-91.5,27.1,1005,45
6,-91.76,27.03,1004,47
7,-92,27,1004,50
8,-92.21,27.03,1003,52
9,-92.4,27.1,1002,55
10,-92.59,27.2,1000,57
11,-92.8,27.3,998,60
12,-93.05,27.34,994,62
13,-93.3,27.4,991,65
14,-93.5,27.54,989,67
15,-93.7,27.7,987,70
16,-93.96,27.81,985,72
17,-94.2,27.9,983,75
18,-94.37,27.99,978,82
19,-94.5,28.1,974,90
20,-94.66,28.23,971,92
21,-94.8,28.4,969,95
22,-94.85,28.54,966,97
23,-95,28.9,963,100
24,-95.1,29.1,962,100
25,-95.27,29.39,963,91
26,-95.5,29.7,965,80
27,-95.73,30.08,977,60
28,-96,30.5,990,40
29,-96.33,30.99,994,37
30,-96.7,31.5,998,35
31,-97.06,31.96,1000,32
32,-97.4,32.4,1003,30
33,-97.72,32.83,1004,27
34,-98,33.3,1006,25
35,-98.26,33.84,1007,25
36,-98.5,34.4,1009,25
37,-98.76,34.9,1009,22
38,-99,35.4,1010,20
39,-99.25,35.94,1010,20
40,-99.4,36.5,1011,20
41,-99.35,37.03,1011,20
42,-99.2,37.6,1011,20
43,-99.16,38.25,1011,20
44,-99,38.9,1011,20
45,-98.56,39.46,1010,20
46,-98,40,1010,20
47,-97.48,40.59,1010,20
48,-97,41.2,1010,20
