Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-93.5,21.3,NA,30
2,-93.65,21.75,NA,30
3,-93.8,22.2,NA,30
4,-93.95,22.65,NA,30
5,-94.1,23.1,NA,30
6,-94.25,23.56,NA,30
7,-94.4,24,NA,30
8,-94.58,24.41,NA,32
9,-94.7,24.8,NA,35
10,-94.67,25.21,NA,35
11,-94.6,25.6,NA,35
12,-94.6,25.96,NA,37
13,-94.6,26.3,NA,40
14,-94.55,26.65,NA,42
15,-94.5,27,NA,45
16,-94.5,27.36,NA,47
17,-94.5,27.7,NA,50
18,-94.45,27.97,NA,52
19,-94.4,28.2,NA,55
20,-94.4,28.45,NA,57
21,-94.83,28.63,NA,60
22,-94.93,28.82,NA,60
23,-94.9,29.02,NA,60
24,-94.79,29.23,NA,60
25,-94.6,29.43,NA,60
26,-94.41,29.59,NA,55
27,-94.2,29.7,NA,50
28,-93.96,29.79,NA,50
29,-93.7,29.87,NA,50
30,-93.45,29.95,NA,50
31,-93.2,30.03,NA,50
32,-92.99,30.09,NA,45
33,-92.73,30.13,NA,40
34,-92.37,30.17,NA,40
35,-91.97,30.2,NA,40
36,-91.58,30.25,NA,40
37,-91.2,30.3,NA,40
38,-90.82,30.33,NA,40
39,-90.43,30.37,NA,40
40,-90.06,30.4,NA,40
41,-89.58,30.46,NA,40
42,-89,30.6,NA,40
43,-87.97,30.93,NA,40
44,-85.35,31.71,NA,40
45,-83.5,32.4,NA,40
46,-82.58,33.04,NA,37
47,-82,33.7,NA,35
48,-81.25,34.4,NA,35
49,-80.5,35.1,NA,35
50,-79.75,35.75,NA,35
51,-79,36.4,NA,35
52,-78.25,37.07,NA,35
53,-77.5,37.8,NA,35
54,-76.85,38.69,NA,35
55,-76,39.5,NA,35
56,-74.58,39.97,NA,35
57,-73.2,40.3,NA,35
58,-72.42,40.7,NA,35
59,-72,41.1,NA,35
60,-71.72,41.5,NA,35
61,-71.6,41.9,NA,35
62,-71.52,42.3,NA,35
63,-71.5,42.7,NA,35
64,-71.5,43.1,NA,35
65,-71.5,43.5,NA,35
