Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-81,24.1,NA,40
2,-81.5,24.1,NA,40
3,-82.1,24.1,NA,40
4,-82.86,24.11,NA,40
5,-83.6,24.2,NA,40
6,-84.15,24.42,NA,40
7,-84.6,24.7,NA,40
8,-85.02,24.94,NA,45
9,-85.4,25.2,NA,50
10,-85.72,25.51,NA,50
11,-86.1,25.8,NA,50
12,-86.66,25.97,NA,50
13,-87.6,26.17,NA,50
14,-88.46,26.45,NA,50
15,-89.25,26.75,NA,50
16,-89.99,27.02,NA,50
17,-90.57,27.2,NA,50
18,-91.12,27.31,NA,50
19,-91.67,27.4,NA,50
20,-92.28,27.53,NA,50
21,-92.83,27.67,NA,50
22,-93.24,27.81,NA,50
23,-93.57,27.97,NA,50
24,-93.89,28.15,NA,50
25,-94.2,28.37,NA,50
26,-94.56,28.56,NA,50
27,-94.87,28.87,999,50
28,-94.94,29.01,999,50
29,-95.09,29.23,NA,45
30,-95.3,29.47,NA,40
31,-95.48,29.7,NA,40
32,-95.6,29.93,NA,40
33,-95.65,30.2,NA,40
34,-95.67,30.5,NA,40
35,-95.7,30.81,NA,40
36,-95.7,31.17,NA,40
37,-95.69,31.55,NA,35
38,-95.56,31.76,NA,30
39,-95.38,31.81,NA,30
40,-95.27,31.33,NA,30
41,-95.5,29.41,NA,32
42,-95.6,29.3,NA,30
43,-95.69,29.2,NA,30
44,-95.8,29.1,NA,30
45,-95.95,28.99,NA,30
46,-96.1,28.9,NA,30
47,-96.21,28.85,NA,27
48,-96.3,28.8,NA,25
49,-96.41,28.7,NA,25
50,-96.5,28.6,NA,25
51,-96.56,28.54,NA,25
52,-96.6,28.5,NA,25
53,-96.62,28.45,NA,25
54,-96.6,28.4,NA,25
55,-96.51,28.35,NA,25
56,-96.4,28.3,NA,25
57,-96.35,28.24,NA,25
58,-96.3,28.2,NA,25
59,-96.21,28.19,NA,25
60,-96.1,28.2,NA,25
61,-96,28.19,NA,27
62,-95.9,28.2,NA,30
63,-95.8,28.24,NA,32
64,-95.7,28.3,NA,35
65,-95.6,28.35,NA,35
66,-95.5,28.4,NA,35
67,-95.05,28.16,NA,40
68,-94.74,28.03,NA,50
69,-94.73,28.16,NA,50
70,-94.82,28.45,NA,50
71,-94.97,28.86,NA,50
72,-95.01,29.09,NA,50
73,-95,29.17,NA,50
74,-95.04,29.51,NA,45
75,-95.03,29.93,NA,40
76,-94.87,30.31,NA,40
77,-94.63,30.7,NA,40
78,-94.39,31.1,NA,35
79,-94,31.36,NA,30
80,-93.53,31.55,NA,30
81,-92.73,31.57,NA,30
82,-90.83,31.12,NA,40
83,-90.1,31.6,NA,35
84,-89.72,31.93,NA,30
85,-89.5,32.2,NA,25
86,-89.24,32.51,NA,25
87,-89,32.8,NA,25
88,-88.75,33.06,NA,25
89,-88.5,33.3,NA,25
90,-88.25,33.54,NA,22
91,-88,33.8,NA,20
92,-87.75,34.1,NA,20
93,-87.5,34.4,NA,20
94,-87.25,34.65,NA,20
95,-87,34.9,NA,20
96,-86.75,35.19,NA,20
97,-86.5,35.5,NA,20
