Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-42.1,15,NA,35
2,-42.74,15.11,NA,35
3,-43.4,15.2,NA,35
4,-44.08,15.26,NA,35
5,-44.7,15.3,NA,35
6,-45.17,15.34,NA,35
7,-45.6,15.4,NA,35
8,-46.07,15.49,NA,35
9,-46.6,15.6,NA,35
10,-47.24,15.7,NA,35
11,-47.9,15.8,NA,35
12,-48.51,15.91,NA,35
13,-49.1,16,NA,35
14,-49.71,16.05,NA,35
15,-50.3,16.1,NA,35
16,-50.86,16.2,NA,35
17,-51.4,16.3,NA,35
18,-51.89,16.36,NA,35
19,-52.4,16.4,NA,35
20,-53.02,16.45,NA,37
21,-53.7,16.5,NA,40
22,-54.39,16.54,NA,40
23,-55.1,16.6,NA,40
24,-55.85,16.7,NA,40
25,-56.6,16.8,NA,40
26,-57.32,16.86,NA,40
27,-58,16.9,NA,40
28,-58.66,16.96,NA,42
29,-59.3,17,NA,45
30,-59.95,17,NA,45
31,-60.6,17,NA,45
32,-61.24,17.04,NA,45
33,-61.9,17.1,NA,45
34,-62.59,17.15,NA,45
35,-63.3,17.2,NA,45
36,-64.04,17.25,NA,45
37,-64.7,17.3,NA,45
38,-65.2,17.35,NA,45
39,-65.6,17.4,NA,45
40,-65.99,17.45,NA,45
41,-66.4,17.5,NA,45
42,-66.89,17.55,NA,45
43,-67.4,17.6,NA,45
44,-67.86,17.63,NA,45
45,-68.3,17.7,NA,45
46,-68.74,17.83,NA,42
47,-69.2,18,NA,40
48,-69.74,18.14,NA,40
49,-70.3,18.3,NA,40
50,-70.81,18.5,NA,37
51,-71.3,18.7,NA,35
52,-71.81,18.86,NA,35
53,-72.3,19,NA,35
54,-72.76,19.16,NA,35
55,-73.2,19.3,NA,35
56,-73.65,19.41,NA,35
57,-74.1,19.5,NA,35
58,-74.54,19.59,NA,35
59,-75,19.7,NA,35
60,-75.52,19.84,NA,35
61,-76,20,NA,35
62,-76.33,20.15,NA,35
63,-76.6,20.3,NA,35
64,-76.91,20.44,NA,35
65,-77.2,20.6,NA,35
66,-77.45,20.8,NA,35
67,-77.7,21,NA,35
68,-77.99,21.16,NA,35
69,-78.3,21.3,NA,35
70,-78.6,21.44,NA,35
71,-78.9,21.6,NA,35
72,-79.2,21.79,NA,35
73,-79.5,22,NA,35
74,-79.8,22.18,NA,35
75,-80.1,22.4,NA,35
76,-80.39,22.69,NA,40
77,-80.7,23,NA,45
78,-81.09,23.25,NA,50
79,-81.5,23.5,NA,55
80,-81.89,23.78,NA,57
81,-82.3,24.1,NA,60
82,-82.74,24.44,NA,62
83,-83.2,24.8,NA,65
84,-83.64,25.16,NA,70
85,-84.1,25.5,NA,75
86,-84.64,25.82,NA,80
87,-85.2,26.1,974,85
88,-85.69,26.32,NA,90
89,-86.2,26.5,NA,95
90,-86.78,26.66,NA,100
91,-87.4,26.8,NA,105
92,-88.07,26.91,NA,110
93,-88.7,27,NA,115
94,-89.23,27.1,NA,120
95,-89.7,27.2,NA,125
96,-90.16,27.3,NA,125
97,-90.6,27.4,NA,125
98,-91.05,27.5,NA,125
99,-91.5,27.6,NA,125
100,-91.94,27.68,NA,122
101,-92.4,27.8,NA,120
102,-92.93,27.96,NA,120
103,-93.5,28.2,NA,120
104,-94.09,28.54,NA,120
105,-94.7,28.9,936,120
106,-95.1,29.1,936,120
107,-95.3,29.24,NA,112
108,-95.9,29.8,NA,90
109,-96.44,30.39,NA,77
110,-96.9,31,NA,65
111,-97.31,31.6,NA,57
112,-97.6,32.2,NA,50
113,-97.75,32.79,NA,47
114,-97.8,33.4,NA,45
115,-97.83,34.04,NA,42
116,-97.8,34.7,NA,40
117,-97.72,35.34,NA,37
118,-97.6,36,NA,35
119,-97.49,36.69,NA,32
120,-97.3,37.4,NA,30
121,-96.98,38.1,NA,30
122,-96.5,38.8,NA,30
123,-95.94,39.51,NA,30
124,-95.1,40.2,NA,30
125,-93.93,40.87,NA,35
126,-92.4,41.5,NA,40
127,-90.63,42.09,NA,45
128,-88.6,42.6,NA,50
129,-86.47,43.01,NA,52
130,-84.2,43.4,NA,55
131,-81.83,43.84,NA,57
132,-79.4,44.3,NA,60
133,-76.97,44.73,NA,62
134,-74.5,45.2,NA,65
135,-71.93,45.72,NA,65
136,-69.3,46.3,NA,65
137,-66.65,46.89,NA,65
138,-64,47.5,NA,65
139,-61.31,48.05,NA,65
140,-58.7,48.6,NA,65
141,-56.21,49.16,NA,65
142,-53.9,49.7,NA,65
143,-51.76,50.17,NA,62
144,-49.8,50.6,NA,60
145,-47.93,51.01,NA,57
146,-46.2,51.4,NA,55
147,-44.55,51.74,NA,52
148,-43,52.1,NA,50
149,-41.47,52.52,NA,47
150,-40,53,NA,45
151,-38.57,53.53,NA,45
152,-37.2,54.1,NA,45
153,-35.87,54.68,NA,45
154,-34.6,55.3,NA,45
155,-33.37,55.98,NA,42
156,-32.2,56.7,NA,40
157,-31.06,57.42,NA,40
158,-30,58.2,NA,40
159,-29,59.07,NA,37
160,-28,60,NA,35
